R            ;E_CL_CCSD               ;E_CL_CCSD_A            ;E_CL_CCSD_B          ;E_CL_CCSD_EOM        ;E_CL_CCSD_EOM_A     ;E_CL_CCSD_EOM_B       ;E_CCSD               ;E_CCSD_A            ;E_CCSD_B
2.0          ;-152.484312244365       ;-76.239517900260       ;-76.239652559149     ;-152.488993830377    ;-76.240149530069    ;-76.242605306208      ;-152.490960206439    ;-76.240580797395    ;-76.244289874318 
2.1          ;-152.485276104782       ;-76.239648552766       ;-76.240099100199     ;-152.488963651521    ;-76.240135461822    ;-76.242483792556      ;-152.490656989916    ;-76.240479362023    ;-76.243902767489
2.2          ;-152.485758292438       ;-76.239754313630       ;-76.240426732204     ;-152.488705557429    ;-76.240122608297    ;-76.242395104638      ;-152.490146816060    ;-76.240392130893    ;-76.243580056096
2.3          ;-152.485914296605       ;-76.239836229875       ;-76.240665992497     ;-152.488298537954    ;-76.240110164266    ;-76.242315737638      ;-152.489522721627    ;-76.240317964614    ;-76.243307418258
2.4          ;-152.485851396211       ;-76.239897901722       ;-76.240824392159     ;-152.487795627684    ;-76.240098615471    ;-76.242227261340      ;-152.488840740093    ;-76.240256084994    ;-76.243063781488
2.5          ;-152.485640843345       ;-76.239943651879       ;-76.240916708384     ;-152.487238280831    ;-76.240088646892    ;-76.242116417398      ;-152.488135977257    ;-76.240205603434    ;-76.242830837064
2.6          ;-152.485341821677       ;-76.239976018961       ;-76.240954376606     ;-152.486657950184    ;-76.240079726628    ;-76.241981522466      ;-152.487432747146    ;-76.240165355555    ;-76.242598083474
2.7          ;-152.484994570398       ;-76.239998722195       ;-76.240951130615     ;-152.486079576035    ;-76.240072295739    ;-76.241827784254      ;-152.486748899112    ;-76.240133951211    ;-76.242362547139
2.8          ;-152.484629509119       ;-76.240014151246       ;-76.240919640875     ;-152.485521274057    ;-76.240066066140    ;-76.241662827634      ;-152.486096929529    ;-76.240109910899    ;-76.242125790850
2.9          ;-152.484265138843       ;-76.240024440467       ;-76.240869482611     ;-152.484993969316    ;-76.240060946461    ;-76.241493471461      ;-152.485484466157    ;-76.240091802500    ;-76.241891014734
3.0          ;-152.483911872104       ;-76.240031181633       ;-76.240806893142     ;-152.484502857738    ;-76.240056804609    ;-76.241324589502      ;-152.484915287848    ;-76.240078339181    ;-76.241661519379
3.1          ;-152.483574957905       ;-76.240035526335       ;-76.240735779921     ;-152.484049493814    ;-76.240053499084    ;-76.241159468560      ;-152.484390761502    ;-76.240068431014    ;-76.241440371666
3.2          ;-152.483256996146       ;-76.240038283997       ;-76.240659010422     ;-152.483633722284    ;-76.240050892624    ;-76.241000645514      ;-152.483911123350    ;-76.240061197034    ;-76.241230555732
3.3          ;-152.482959563026       ;-76.240040012958       ;-76.240579270422     ;-152.483254908513    ;-76.240048863459    ;-76.240850507208      ;-152.483476205300    ;-76.240055950325    ;-76.241035046035
3.4          ;-152.482683937345       ;-76.240041089964       ;-76.240499530909     ;-152.482912400860    ;-76.240047306003    ;-76.240711404607      ;-152.483085595890    ;-76.240052168854    ;-76.240856620823
3.5          ;-152.482431190971       ;-76.240041763533       ;-76.240422624680     ;-152.482605474321    ;-76.240046130128    ;-76.240585468844      ;-152.482738457930    ;-76.240049461918    ;-76.240697507031
3.6          ;-152.482201986446       ;-76.240042193045       ;-76.240351124529     ;-152.482333077828    ;-76.240045259314    ;-76.240474272725      ;-152.482433278751    ;-76.240047539322    ;-76.240559053049
3.7          ;-152.481996419330       ;-76.240042477010       ;-76.240286926833     ;-152.482093613046    ;-76.240044627432    ;-76.240378609364      ;-152.482167736043    ;-76.240046186110    ;-76.240441559388
3.8          ;-152.481813841128       ;-76.240042673899       ;-76.240231218314     ;-152.481884883925    ;-76.240044178730    ;-76.240298415503      ;-152.481938740806    ;-76.240045242893    ;-76.240344305517
3.9          ;-152.481652970833       ;-76.240042816985       ;-76.240184364375     ;-152.481704171116    ;-76.240043866781    ;-76.240232873089      ;-152.481742626015    ;-76.240044592137    ;-76.240265735414
4.0          ;-152.481512027367       ;-76.240042924581       ;-76.240146096554     ;-152.481548415547    ;-76.240043653956    ;-76.240180596177      ;-152.481575410709    ;-76.240044147378    ;-76.240203725633
4.1          ;-152.481388924688       ;-76.240043006532       ;-76.240115676255     ;-152.481414431062    ;-76.240043510850    ;-76.240139860250      ;-152.481433071312    ;-76.240043845654    ;-76.240155867569
