R            ;E_CL_CCSD               ;E_CL_CCSD_A            ;E_CL_CCSD_B               ;E_CCSD               ;E_CCSD_A            ;E_CCSD_B
2.0          ;-152.674895542167       ;-76.337487916630       ;-76.332352175643          ;-152.685209444620    ;-76.338550784243    ;-76.339849634974 
2.1          ;-152.676593244526       ;-76.337595364377       ;-76.333695585568          ;-152.684944938345    ;-76.338473151629    ;-76.339696481833
2.2          ;-152.677812713664       ;-76.337680196144       ;-76.334717520370          ;-152.684490071793    ;-76.338402948944    ;-76.339552552453
2.3          ;-152.678614716661       ;-76.337744344769       ;-76.335562672349          ;-152.683930671376    ;-76.338339426406    ;-76.339415442001
2.4          ;-152.679114984888       ;-76.337796322760       ;-76.336278216134          ;-152.683324529171    ;-76.338281971036    ;-76.339285181037
2.5          ;-152.679388828104       ;-76.337835965150       ;-76.336738090115          ;-152.682710654577    ;-76.338230124340    ;-76.339163599176
2.6          ;-152.679498722605       ;-76.337864880187       ;-76.337131624078          ;-152.682114562660    ;-76.338183619909    ;-76.339052825839
2.7          ;-152.679497110813       ;-76.337888793454       ;-76.337424127135          ;-152.681551675696    ;-76.338142363499    ;-76.338953981111
2.8          ;-152.679410413055       ;-76.337908238400       ;-76.337644635140          ;-152.681029962827    ;-76.338106347840    ;-76.338866628772
2.9          ;-152.679269676196       ;-76.337923526314       ;-76.337806084103          ;-152.680552168016    ;-76.338075537755    ;-76.338788980637
3.0          ;-152.679096853229       ;-76.337934823890       ;-76.337922717372          ;-152.680117693958    ;-76.338049774350    ;-76.338718565361
3.1          ;-152.678906996404       ;-76.337942994547       ;-76.338004091243          ;-152.679724121988    ;-76.338028731173    ;-76.338653001359
3.2          ;-152.678710249710       ;-76.337948786535       ;-76.338058522846          ;-152.679368307664    ;-76.338011928011    ;-76.338590561921
3.3          ;-152.678514054675       ;-76.337952784796       ;-76.338091875015          ;-152.679047025047    ;-76.337998784717    ;-76.338530369128
3.4          ;-152.678323587503       ;-76.337955552299       ;-76.338109511167          ;-152.678757230211    ;-76.337988687108    ;-76.338472260193
3.5          ;-152.678142412492       ;-76.337957362352       ;-76.338116032856          ;-152.678496098928    ;-76.337981046325    ;-76.338416493774
3.6          ;-152.677972516985       ;-76.337958525437       ;-76.338115008866          ;-152.678260988707    ;-76.337975335958    ;-76.338363470560
3.7          ;-152.677814784726       ;-76.337959252173       ;-76.338108942939          ;-152.678049422640    ;-76.337971111603    ;-76.338313562510
3.8          ;-152.677669362691       ;-76.337959694987       ;-76.338099771618          ;-152.677859113829    ;-76.337968012849    ;-76.338267056673
3.9          ;-152.677535833650       ;-76.337959939103       ;-76.338088747656          ;-152.677688002882    ;-76.337965756738    ;-76.338224169187
4.0          ;-152.677413493911       ;-76.337960068682       ;-76.338076683866          ;-152.677534277357    ;-76.337964125214    ;-76.338185072352
4.1          ;-152.677301633402       ;-76.337960131943       ;-76.338064296406          ;-152.677396356429    ;-76.337962953000    ;-76.338149905917
4.2          ;-152.677199531337       ;-76.337960158093       ;-76.338052098687          ;-152.677272844990    ;-76.337962117156    ;-76.338118762627
4.3          ;-152.677106518157       ;-76.337960169477       ;-76.338040515938          ;-152.677162475836    ;-76.337961525209    ;-76.338091661535
4.4          ;-152.677021956332       ;-76.337960172720       ;-76.338029871871          ;-152.677064057633    ;-76.337961109132    ;-76.338068523535
4.5          ;-152.676945220994       ;-76.337960174072       ;-76.338020393306          ;-152.676976441243    ;-76.337960819440    ;-76.338049161834
4.6          ;-152.676875689583       ;-76.337960175359       ;-76.338012198555          ;-152.676898507619    ;-76.337960619220    ;-76.338033290085
4.7          ;-152.676812733293       ;-76.337960177451       ;-76.338005309448          ;-152.676829173122    ;-76.337960481722    ;-76.338020544479
4.8          ;-152.676755726672       ;-76.337960180113       ;-76.337999669711          ;-152.676767405268    ;-76.337960388313    ;-76.338010515775
4.9          ;-152.676704058425       ;-76.337960183130       ;-76.337995167074          ;-152.676712241007    ;-76.337960325121    ;-76.338002779410
5.0          ;-152.676657148766       ;-76.337960186035       ;-76.337991656483          ;-152.676662804723    ;-76.337960282810    ;-76.337996925367
5.5          ;-152.676476848586       ;-76.337960194901       ;-76.337983720611          ;-152.676477584051    ;-76.337960208756    ;-76.337984407711
6.0          ;-152.676355787275       ;-76.337960196320       ;-76.337982358313          ;-152.676355857764    ;-76.337960198612    ;-76.337982424232
6.5          ;-152.676269654034       ;-76.337960196266       ;-76.337982199257          ;-152.676269659129    ;-76.337960197387    ;-76.337982204365
7.0          ;-152.676206192112       ;-76.337960196235       ;-76.337982186120          ;-152.676206192372    ;-76.337960197179    ;-76.337982186876
7.5          ;-152.676158291626       ;-76.337960196224       ;-76.337982184886          ;-152.676158291639    ;-76.337960197333    ;-76.337982185865
8.0          ;-152.676121419579       ;-76.337960196223       ;-76.337982184829          ;-152.676121419580    ;-76.337960197302    ;-76.337982186000
8.5          ;-152.676092553833       ;-76.337960196223       ;-76.337982185295          ;-152.676092553836    ;-76.337960196811    ;-76.337982185564
9.0          ;-152.676069621240       ;-76.337960196223       ;-76.337982184825          ;-152.676069621240    ;-76.337960196260    ;-76.337982185156
9.5          ;-152.676051161616       ;-76.337960196223       ;-76.337982185471          ;-152.676051162118    ;-76.337960197039    ;-76.337982185774
10.0         ;-152.676036130736       ;-76.337960196223       ;-76.337982184844          ;-152.676036130736    ;-76.337960196948    ;-76.337982185781






































































































































































































































