R            ;E_CL_CCSD               ;E_CL_CCSD_A            ;E_CL_CCSD_B               ;E_CCSD               ;E_CCSD_A            ;E_CCSD_B
2.0          ;-152.692012512330       ;-76.345186847771       ;-76.341530642412          ;-152.706123125464    ;-76.349468810974    ;-76.349415621886 
2.1          ;-152.693648979166       ;-76.345457475988       ;-76.342594003284          ;-152.705860532544    ;-76.349419497547    ;-76.349337922011
2.2          ;-152.694715429413       ;-76.345696019465       ;-76.343458623261          ;-152.705424702431    ;-76.349374275771    ;-76.349273387688
2.3          ;-152.695435390924       ;-76.345894010463       ;-76.344163676668          ;-152.704892490771    ;-76.349328143453    ;-76.349216641311
2.4          ;-152.695901837142       ;-76.346058368068       ;-76.344719904084          ;-152.704315527480    ;-76.349278164451    ;-76.349165005036
2.5          ;-152.696158574989       ;-76.346186616579       ;-76.345158874468          ;-152.703730054492    ;-76.349224138428    ;-76.349118072400
2.6          ;-152.696282947040       ;-76.346285561987       ;-76.345511796375          ;-152.703160732455    ;-76.349167878687    ;-76.349075886985
2.7          ;-152.696309252136       ;-76.346362377675       ;-76.345786169053          ;-152.702622741830    ;-76.349111936637    ;-76.349037929413
2.8          ;-152.696259120707       ;-76.346427019242       ;-76.345998201065          ;-152.702124104979    ;-76.349058604020    ;-76.349003292682
2.9          ;-152.696157367469       ;-76.346481653419       ;-76.346153594036          ;-152.701668080079    ;-76.349009458895    ;-76.348971249142
3.0          ;-152.696023651339       ;-76.346527973716       ;-76.346268690234          ;-152.701255039594    ;-76.348965332273    ;-76.348941554460
3.1          ;-152.695876166694       ;-76.346562148397       ;-76.346356582584          ;-152.700883699412    ;-76.348926487354    ;-76.348914385062
3.2          ;-152.695724090125       ;-76.346590033824       ;-76.346424532044          ;-152.700551839645    ;-76.348892849881    ;-76.348890092839
3.3          ;-152.695569347174       ;-76.346612162870       ;-76.346473996773          ;-152.700256717169    ;-76.348864195401    ;-76.348868965102
3.4          ;-152.695419845661       ;-76.346629802264       ;-76.346511985827          ;-152.699995306570    ;-76.348840257306    ;-76.348851077311
3.5          ;-152.695278494268       ;-76.346643665992       ;-76.346542194921          ;-152.699764451201    ;-76.348820753901    ;-76.348836257702
3.6          ;-152.695147026572       ;-76.346654541647       ;-76.346567374003          ;-152.699560973140    ;-76.348805363431    ;-76.348824143570
3.7          ;-152.695026256159       ;-76.346663005530       ;-76.346588882541          ;-152.699381763671    ;-76.348793681962    ;-76.348814287736
