R                    H^01
    1.0000           0.00201668
    1.1000          -0.00200661
    1.2000          -0.00214087
    1.3000           0.00224073
    1.4000           0.00230998
    1.5000          -0.00236004
    1.6000           0.00240223
    1.7000          -0.00244392
    1.8000          -0.00255496
    1.9000           0.00259625
    2.0000           0.00262492
    2.1000           0.00263341
    2.2000          -0.00262227
    2.3000          -0.00261276
    2.4000           0.00259097
    2.5000          -0.00256156
    2.6000          -0.00252030
    2.7000           0.00244936
    2.8000           0.00238559
    2.9000           0.00230177
    3.0000           0.00220851
    3.1000           0.00210457
    3.2000          -0.00199095
    3.3000           0.00186427
    3.4000          -0.00171733
    3.5000           0.00159069
    3.6000           0.00143841
    3.7000          -0.00130714
    3.8000          -0.00118372
    3.9000          -0.00107138
    4.0000          -0.00097052
    4.1000          -0.00088046
    4.2000          -0.00080335
    4.3000          -0.00073760
    4.4000          -0.00067950
    4.5000           0.00062770
    4.6000           0.00058260
    4.7000          -0.00054903
    4.8000           0.00051310
    4.9000           0.00047995
    5.0000           0.00044969
    5.5000           0.00033125
    6.0000           0.00024745
    6.5000          -0.00018109
    7.0000          -0.00012765
    7.5000           0.00008649
    8.0000           0.00005609
    8.5000          -0.00003504
    9.0000          -0.00002106
    9.5000          -0.00001216
   10.0000          -0.00000676
