R            ;H_AB               
2.0          ;0.11217239998891845
2.5          ;0.041624468607423741
3.0          ;0.016724118327798798     
3.5          ;0.0051010567515563793    
4.0          ;0.0010685452709288600   
4.5          ;0.00015648370931382988    
5.0          ;0.000016287005133371215
6.0          ;0.000000062791258129682695  
7.0          ;0.000000000049226140812525824     
8.0          ;0.0000000000000000     
9.0          ;0.0000000000000000     
10.0         ;0.0000000000000000





























































































































































































