R            ;H_AB               
2.0          ;0.12931135486163731
2.5          ;0.059960380595486744
3.0          ;0.032401289409623071     
3.5          ;0.015062824031227049    
4.0          ;0.0057383024313638316   
4.5          ;0.0020852834909481982    
5.0          ;0.00091642749945421045
6.0          ;0.00029811590241421475  
7.0          ;0.000082728948788037067     
8.0          ;0.000017237799579749729     
9.0          ;0.000017237799612704298     
10.0         ;0.00000056528768461289633





























































































































































































