R            ;H_AB                                  ;H_AB_CISD
2.0          ;0.25397821131283771                   ;0.00262492
2.5          ;0.25703793973970218                   ;0.00256156
3.0          ;0.20092172843825767                   ;0.00220851
3.5          ;0.11707840073431176                   ;0.00159069
4.0          ;0.054050959570885064                  ;0.00097052
4.5          ;0.021154364668342241                  ;0.00062770
5.0          ;0.0072300531067727046                 ;0.00044969
6.0          ;0.00056952676258872664                ;0.00024745
7.0          ;0.00011011691473503547                ;0.00012765
8.0          ;0.0000000029997469211554382           ;0.00005609
9.0          ;0.000000000071558021700668182         ;0.00002106
10.0         ;0.000000000045371730792728667         ;0.00000676





























































































































































































