R            ;H_AB
2.0          ;0.13969748503183232       
2.5          ;0.12433123094084579       
3.0          ;0.10827541112184481       
3.5          ;0.083692811814468596      
4.0          ;0.063117908559786273      
4.5          ;0.047354106829498838      
5.0          ;0.038837604992912673      
6.0          ;0.023627333723456607      
7.0          ;0.013455824943359430      
8.0          ;0.0065067012082629392     
9.0          ;0.0025729700253830693     
10.0         ;0.00097783856208936049    


























































































































































































