R            ;E_CL_CCSD_EOM_AB_Np1    ;E_CL_CCSD_EOM_AB_Nm1    ;E_CCSD_AB              
2.0          ;-152.484779185990       ;-152.488436202664       ;-152.490960206439      
2.1          ;-152.485644266592       ;-152.488560412976       ;-152.490656989916      
2.2          ;-152.486043346932       ;-152.488422147011       ;-152.490146816060      
2.3          ;-152.486131485120       ;-152.488107946012       ;-152.489522721627      
2.4          ;-152.486014491825       ;-152.487675762383       ;-152.488840740093      
2.5          ;-152.485761656130       ;-152.487170832939       ;-152.488135977257      
2.6          ;-152.485430241910       ;-152.486627787052       ;-152.487432747146      
2.7          ;-152.485058720025       ;-152.486074648501       ;-152.486748899112      
2.8          ;-152.484675703226       ;-152.485532223462       ;-152.486096929529      
2.9          ;-152.484298202640       ;-152.485013791747       ;-152.485484466157      
3.0          ;-152.483935427709       ;-152.484526534521       ;-152.484915287848      
3.1          ;-152.483591676078       ;-152.484073627410       ;-152.484390761502      
3.2          ;-152.483268827965       ;-152.483656195890       ;-152.483911123350      
3.3          ;-152.482967917003       ;-152.483274577696       ;-152.483476205300      
3.4          ;-152.482689822961       ;-152.482928818975       ;-152.483085595890      
3.5          ;-152.482435328477       ;-152.482618659268       ;-152.482738457930      
3.6          ;-152.482204887750       ;-152.482343322808       ;-152.482433278751      
3.7          ;-152.481998447460       ;-152.482101348794       ;-152.482167736043      
3.8          ;-152.481815253644       ;-152.481890576991       ;-152.481938740806      
3.9          ;-152.481653950206       ;-152.481708264543       ;-152.481742626015      
4.0          ;-152.481512702876       ;-152.481551296525       ;-152.481575410709      
4.1          ;-152.481389387882       ;-152.481416418763       ;-152.481433071312      
4.2          ;-152.481281778638       ;-152.481300444760       ;-152.481311764240      
4.3          ;-152.481187699685       ;-152.481200410736       ;-152.481207986650      
4.4          ;-152.481105134819       ;-152.481113671753       ;-152.481118665460      
4.5          ;-152.481032289937       ;-152.481037945220       ;-152.481041187844      
4.6          ;-152.480967618470       ;-152.480971313771       ;-152.480973388703      
4.7          ;-152.480909818715       ;-152.480912200624       ;-152.480913508839      
4.8          ;-152.480857815976       ;-152.480859330383       ;-152.480860143499      
4.9          ;-152.480810732935       ;-152.480811682660       ;-152.480812180926      
5.0          ;-152.480767859085       ;-152.480768446534       ;-152.480768747617      
5.5          ;-152.480599893919       ;-152.480599893919       ;-152.480599957003      
6.0          ;-152.480483582265       ;-152.480483582265       ;-152.480483585132      
6.5          ;-152.480399604641       ;-152.480399604641       ;-152.480399604605      
7.0          ;-152.480337303224       ;-152.480337303224       ;-152.480337303203      
7.5          ;-152.480290057409       ;-152.480290057409       ;-152.480290057419      
8.0          ;-152.480253550055       ;-152.480253550055       ;-152.480253550039      
8.5          ;-152.480224876507       ;-152.480224876507       ;-152.480224876520      
9.0          ;-152.480202031101       ;-152.480202031101       ;-152.480202031103      
9.5          ;-152.480183597074       ;-152.480183597074       ;-152.480183597064      
10.0         ;-152.480168553584       ;-152.480168553584       ;-152.480168553574      
































































































































































































































