R            ;E_CL_CCSD               ;E_CL_CCSD_A            ;E_CL_CCSD_B               ;E_CCSD               ;E_CCSD_A            ;E_CCSD_B
2.0          ;-152.541116343496       ;-76.269554476669       ;-76.266150497152          ;-152.549590706220    ;-76.271173428453    ;-76.271673697537 
2.1          ;-152.542270743557       ;-76.269844394276       ;-76.266812910879          ;-152.549402746213    ;-76.271126926798    ;-76.271539224695
2.2          ;-152.542965530311       ;-76.270089712170       ;-76.267330412096          ;-152.549029792546    ;-76.271089600305    ;-76.271434213915
2.3          ;-152.543343999011       ;-76.270287330231       ;-76.267729606827          ;-152.548554544677    ;-76.271058194339    ;-76.271350188225
2.4          ;-152.543511810032       ;-76.270448478129       ;-76.268088870779          ;-152.548029165687    ;-76.271030435886    ;-76.271278037975
2.5          ;-152.543541889587       ;-76.270571891481       ;-76.268304820569          ;-152.547488501978    ;-76.271005069138    ;-76.271211737099
2.6          ;-152.543494224205       ;-76.270661503138       ;-76.268549754248          ;-152.546957143606    ;-76.270981629180    ;-76.271149396014
2.7          ;-152.543419083568       ;-76.270723870548       ;-76.268746192186          ;-152.546452209501    ;-76.270960106868    ;-76.271091931503
2.8          ;-152.543327927096       ;-76.270764431028       ;-76.268939513194          ;-152.545984316033    ;-76.270940646769    ;-76.271041013040
2.9          ;-152.543242170848       ;-76.270791650608       ;-76.269130708324          ;-152.545558432690    ;-76.270923351631    ;-76.270997623799
3.0          ;-152.543168533724       ;-76.270809162608       ;-76.269321197428          ;-152.545175199514    ;-76.270908197728    ;-76.270961625628
3.1          ;-152.543108206819       ;-76.270817344135       ;-76.269497349003          ;-152.544832500647    ;-76.270895033145    ;-76.270932048756
3.2          ;-152.543058827080       ;-76.270823429099       ;-76.269663884006          ;-152.544526883930    ;-76.270883616884    ;-76.270907623403
3.3          ;-152.543017040807       ;-76.270825316744       ;-76.269828102157          ;-152.544254548562    ;-76.270873668282    ;-76.270887199982
3.4          ;-152.542967460231       ;-76.270825228286       ;-76.269978782177          ;-152.544011860175    ;-76.270864908281    ;-76.270869931972
3.5          ;-152.542944350348       ;-76.270823974056       ;-76.270115137233          ;-152.543795523618    ;-76.270857084323    ;-76.270855264615
3.6          ;-152.542897111884       ;-76.270821962344       ;-76.270235501979          ;-152.543602579718    ;-76.270849983073    ;-76.270842835288
3.7          ;-152.542859736951       ;-76.270819587131       ;-76.270339982977          ;-152.543430357126    ;-76.270843434459    ;-76.270832372323
3.8          ;-152.542819704348       ;-76.270816935662       ;-76.270428276335          ;-152.543276432504    ;-76.270837312586    ;-76.270823629561
3.9          ;-152.542776389785       ;-76.270814224810       ;-76.270503463277          ;-152.543138614013    ;-76.270831532992    ;-76.270816361144
4.0          ;-152.542730216657       ;-76.270811250825       ;-76.270564710235          ;-152.543014937662    ;-76.270826048598    ;-76.270810320423
4.1          ;-152.542681419987       ;-76.270807988036       ;-76.270613937564          ;-152.542903665009    ;-76.270820842974    ;-76.270805270305
4.2          ;-152.542630985829       ;-76.270804904440       ;-76.270653032756          ;-152.542803275151    ;-76.270815922507    ;-76.270800994844
4.3          ;-152.542579556999       ;-76.270801762061       ;-76.270683396366          ;-152.542712452549    ;-76.270811308030    ;-76.270797309491
4.4          ;-152.542527636341       ;-76.270798859315       ;-76.270709535094          ;-152.542630069322    ;-76.270807026373    ;-76.270794066496
4.5          ;-152.542476103792       ;-76.270796039773       ;-76.270724050338          ;-152.542555164269    ;-76.270803104328    ;-76.270791157431
4.6          ;-152.542425676561       ;-76.270793493012       ;-76.270736838013          ;-152.542486920617    ;-76.270799561491    ;-76.270788510977
4.7          ;-152.542377011743       ;-76.270791201159       ;-76.270746063325          ;-152.542424643111    ;-76.270796408317    ;-76.270786087458
4.8          ;-152.542330313451       ;-76.270789187922       ;-76.270752612782          ;-152.542367734379    ;-76.270793643365    ;-76.270783870829
4.9          ;-152.542285958539       ;-76.270787431913       ;-76.270757189318          ;-152.542315674650    ;-76.270791253368    ;-76.270781859476
5.0          ;-152.542244133357       ;-76.270785944753       ;-76.270760353948          ;-152.542268003348    ;-76.270789214103    ;-76.270780057089
5.5          ;-152.542072566157       ;-76.270781491970       ;-76.270766257259          ;-152.542073921178    ;-76.270782992065    ;-76.270773983390
6.0          ;-152.541951322311       ;-76.270779345079       ;-76.270767001597          ;-152.541956023874    ;-76.270780102049    ;-76.270770801339
6.5          ;-152.541863420481       ;-76.270777677356       ;-76.270766258687          ;-152.541865928938    ;-76.270778131903    ;-76.270768257836
7.0          ;-152.541798228391       ;-76.270776341213       ;-76.270765164176          ;-152.541799573167    ;-76.270776639918    ;-76.270766193100
7.5          ;-152.541749332266       ;-76.270775426344       ;-76.270764364110          ;-152.541750021144    ;-76.270775616897    ;-76.270764859324
8.0          ;-152.541712147268       ;-76.270774878342       ;-76.270763918848          ;-152.541712480587    ;-76.270774989355    ;-76.270764141852
8.5          ;-152.541683381732       ;-76.270774580736       ;-76.270763697265          ;-152.541683533761    ;-76.270774639063    ;-76.270763791684
9.0          ;-152.541660744742       ;-76.270774432388       ;-76.270763588285          ;-152.541660810274    ;-76.270774459570    ;-76.270763626123
9.5          ;-152.541642653581       ;-76.270774362349       ;-76.270763534224          ;-152.541642679888    ;-76.270774374801    ;-76.270763548531
10.0         ;-152.541627998492       ;-76.270774332753       ;-76.270763508034          ;-152.541628000954    ;-76.270774338047    ;-76.270763513075





























































































































































































