R            ;E_CL_CCSD               ;E_CL_CCSD_A            ;E_CL_CCSD_B               ;E_CCSD               ;E_CCSD_A            ;E_CCSD_B
2.0          ;-152.695085699664       ;-76.347982399837       ;-76.341684547424         ;-152.706123125464    ;-76.349468810974    ;-76.349415621886 
2.1          ;-152.696227174709       ;-76.348245214471       ;-76.342762519305         ;-152.705860532544    ;-76.349419497547    ;-76.349337922011
2.2          ;-152.697413792367       ;-76.348489795565       ;-76.343686349319         ;-152.705424702431    ;-76.349374275771    ;-76.349273387688
2.3          ;-152.698210417832       ;-76.348634612901       ;-76.344314073140         ;-152.704892490771    ;-76.349328143453    ;-76.349216641311
2.4          ;-152.698735045843       ;-76.348749648848       ;-76.345075931743         ;-152.704315527480    ;-76.349278164451    ;-76.349165005036
2.5          ;-152.698960059533       ;-76.348797488361       ;-76.345639443080         ;-152.703730054492    ;-76.349224138428    ;-76.349118072400
2.6          ;-152.699197925388       ;-76.348830813386       ;-76.346057010959         ;-152.703160732455    ;-76.349167878687    ;-76.349075886985
2.7          ;-152.699354638364       ;-76.348835661126       ;-76.346491271031         ;-152.702622741830    ;-76.349111936637    ;-76.349037929413
2.8          ;-152.699398615577       ;-76.348832994311       ;-76.346833608073         ;-152.702124104979    ;-76.349058604020    ;-76.349003292682
2.9          ;-152.699373421026       ;-76.348829731754       ;-76.347186493050         ;-152.701668080079    ;-76.349009458895    ;-76.348971249142
3.0          ;-152.699354546418       ;-76.348814552801       ;-76.347450027540         ;-152.701255039594    ;-76.348965332273    ;-76.348941554460
3.1          ;-152.699323922033       ;-76.348805925720       ;-76.347682045683         ;-152.700883699412    ;-76.348926487354    ;-76.348914385062
3.2          ;-152.699263499050       ;-76.348793960467       ;-76.347864546860         ;-152.700551839645    ;-76.348892849881    ;-76.348890092839
3.3          ;-152.699196365552       ;-76.348782970946       ;-76.348018850239         ;-152.700256717169    ;-76.348864195401    ;-76.348868965102
3.4          ;-152.699121750049       ;-76.348774222853       ;-76.348130187983         ;-152.699995306570    ;-76.348840257306    ;-76.348851077311
3.5          ;-152.699029418860       ;-76.348767206640       ;-76.348235835314         ;-152.699764451201    ;-76.348820753901    ;-76.348836257702
3.6          ;-152.698960730514       ;-76.348762382797       ;-76.348333592443         ;-152.699560973140    ;-76.348805363431    ;-76.348824143570
3.7          ;-152.698879785882       ;-76.348759742132       ;-76.348399295706         ;-152.699381763671    ;-76.348793681962    ;-76.348814287736
3.8          ;-152.698800693101       ;-76.348757855869       ;-76.348453012550         ;-152.699223850512    ;-76.348785193505    ;-76.348806260265
3.9          ;-152.698722153699       ;-76.348757426181       ;-76.348497606273         ;-152.699084439033    ;-76.348779278072    ;-76.348799704721
4.0          ;-152.698654925880       ;-76.348757625048       ;-76.348534573891         ;-152.698960937116    ;-76.348775258487    ;-76.348794341294
4.1          ;-152.698589052290       ;-76.348758161103       ;-76.348565690527         ;-152.698850987321    ;-76.348772477696    ;-76.348789940758
4.2          ;-152.698528066190       ;-76.348758448967       ;-76.348593955327         ;-152.698752512568    ;-76.348770378139    ;-76.348786302252
