R            ;mu_2_ccpvdz       ;mu_2_aug_o_only   ;mu_2_ccpvtz
2.0          ;2.942             ;4.796             ;3.403
2.1          ;2.943             ;4.775             ;3.398
2.2          ;2.945             ;4.736             ;3.392
2.3          ;2.946             ;4.671             ;3.388
2.4          ;3.072             ;4.572             ;3.384
2.5          ;3.077             ;4.477             ;3.380
2.6          ;3.085             ;4.388             ;3.379
2.7          ;3.063             ;4.378             ;3.376
2.8          ;3.044             ;4.372             ;3.378
2.9          ;3.028             ;4.368             ;3.382
3.0          ;3.014             ;4.353             ;3.379
3.1          ;3.003             ;4.344             ;3.381
3.2          ;2.994             ;4.325             ;3.388
3.3          ;2.987             ;4.312             ;3.381
3.4          ;2.981             ;4.295             ;3.388
3.5          ;2.976             ;4.282             ;3.386
3.6          ;2.973             ;4.270             ;3.384
3.7          ;2.970             ;4.260             ;3.385
3.8          ;2.968             ;4.252             ;3.383
3.9          ;2.967             ;4.251             ;3.381
4.0          ;2.966             ;4.252             ;3.372
4.1          ;2.965             ;4.253             ;3.379
4.2          ;2.964             ;4.255             ;3.375
4.3          ;2.964             ;4.256             ;3.374
4.4          ;2.964             ;4.257             ;3.376
4.5          ;2.964             ;4.258             ;3.372
4.6          ;2.964             ;4.259             ;3.374
4.7          ;2.964             ;4.259             ;3.374
4.8          ;2.964             ;4.260             ;3.374
4.9          ;2.964             ;4.260             ;3.374
5.0          ;2.964             ;4.259             ;3.371
5.5          ;2.964             ;4.254             ;3.373
6.0          ;2.964             ;4.245             ;3.370
6.5          ;2.964             ;4.242             ;3.373
7.0          ;2.964             ;4.241             ;3.373
7.5          ;2.964             ;4.243             ;3.373
8.0          ;2.964             ;4.243             ;3.373
8.5          ;2.964             ;4.242             ;3.373
9.0          ;2.964             ;4.243             ;3.373
9.5          ;2.964             ;4.243             ;3.373
10.0         ;2.964             ;4.243             ;3.373


 
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          


      
      
      
      
      
      
      
      
      
      
      
      
      


        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
        
































































































































































































































